post_coef,scenario,draw
2.7183820578912816e-10,2,421
2.7183820321541855e-10,1,422
2.718382252158288e-10,2,422
2.7183820634435826e-10,1,423
2.718382140989449e-10,2,423
2.718382164232033e-10,1,424
2.718382231715148e-10,2,424
2.7183821203049044e-10,1,425
2.718382277886914e-10,2,425
2.7183821735239844e-10,1,426
2.7183822105372067e-10,2,426
2.7183822630723076e-10,1,427
2.71838213921915e-10,2,427
2.718382048154638e-10,1,428
2.718382263080778e-10,2,428
2.7183821042705707e-10,1,429
2.7183821504084553e-10,2,429
2.7183822226773064e-10,1,430
2.718382210727789e-10,2,430
2.718382204135755e-10,1,431
2.718382203869469e-10,2,431
2.718382303543542e-10,1,432
2.718382221643926e-10,2,432
2.7183820683987254e-10,1,433
2.7183823443324134e-10,2,433
2.718382269687635e-10,1,434
2.718382270305969e-10,2,434
2.718382207905052e-10,1,435
2.7183822505743365e-10,2,435
2.7183822138025187e-10,1,436
2.718382180852937e-10,2,436
2.718382415411183e-10,1,437
2.7183822844133027e-10,2,437
2.718382100556331e-10,1,438
2.7183821883973536e-10,2,438
2.7183822118268143e-10,1,439
2.718382214910014e-10,2,439
2.718382223375579e-10,1,440
2.7183822528613254e-10,2,440
2.718382220411493e-10,1,441
2.718382233378509e-10,2,441
2.718382214582848e-10,1,442
2.718382199487662e-10,2,442
2.71838222637037e-10,1,443
2.7183821574091826e-10,2,443
2.7183821366611106e-10,1,444
2.7183821593383e-10,2,444
2.718382129499447e-10,1,445
2.7183821762471954e-10,2,445
2.7183820341616536e-10,1,446
2.7183821259884954e-10,2,446
2.718382169970681e-10,1,447
2.7183822373500346e-10,2,447
2.7183821193816385e-10,1,448
2.718382242895718e-10,2,448
2.7183824057550076e-10,1,449
2.718382074681857e-10,2,449
2.718382119119058e-10,1,450
2.7183821239894977e-10,2,450
